SiteID,site.name,long,lat,state,name_en,feature_id,lake_area_ha,nameMatch,DatasetID
1742,Nicol Lake,-103.483333,61.583333,NT,NA,NA,NA,NA,1800
1937,Queens Lake,-110.566667,64.116667,NT,NA,NA,NA,NA,2004
1953,Ra Lake,-126.416667,65.233333,NT,NA,NA,NA,NA,2022
1980,Reindeer Lake,-132.166667,69.116667,NT,NA,a814efcd5c0d493d98dd4e714979ca5f,3278.2294946510656,NA,2054
2392,Sleet Lake,-133.583333,69.283333,NT,NA,NA,NA,NA,2476
2532,Sweet Little Lake,-132.016667,67.65,NT,NA,NA,NA,NA,2622
2555,Thompson Landing,-110.791667,63.066667,NT,NA,NA,NA,NA,2646
2569,Tuktoyaktuk 5,-133.45,69.05,NT,NA,NA,NA,NA,2661
10371,Moraine Lake,-124.47,71.86,NT,NA,50f91bb863754271a8eddba4a6674ccc,41.74391939073253,NA,15783
10372,Stewert Point Pond,-120.22,72.3515,NT,NA,NA,NA,NA,15785
10374,Caribou Lake (MS-74-15),-120.2765,73.5139,NT,NA,NA,NA,NA,15789
11608,South Lake,-121.42854,69.080765,NT,NA,9f01750c8f5845ee9a9abbf6effc736e,70.41403966439913,NA,17400
13643,Lake KR02 (unofficial name),-113.78145,71.344,NT,NA,NA,NA,NA,20649
222,Baird Inlet [Rock Basin Lake],-76.78,78.491667,NU,NA,NA,NA,NA,224
495,Coppermine Saddleback,-115.316667,67.833333,NU,NA,NA,NA,NA,507
667,Devon Island Glacier,-82.5,75.35,NU,NA,NA,NA,NA,685
782,"Ennadai Lake, 1972 Site",-100.951389,61.244444,NU,NA,a9cd11c232294117af0967b403f95437,44079.519119062046,NA,802
783,Ennadai Lake,-100.916667,61.166667,NU,NA,a9cd11c232294117af0967b403f95437,44079.519119062046,NA,803
808,Fish Lake (CA:Nunavut),-85.216667,73.034722,NU,NA,NA,NA,NA,832
945,Grant Lake,-100.466667,64.716667,NU,NA,NA,NA,NA,975
1109,Iglutalik Lake,-66.083333,66.135,NU,NA,NA,NA,NA,1142
1560,Lake PWWL,-98.538889,73.591389,NU,NA,9d19c7aaf19d492f9f2bac8cdd638b71,30.161276408931393,NA,1604
1608,Long Lake (CA:Nunavut),-101.233333,62.633333,NU,NA,NA,NA,NA,1659
2219,Lake RS29,-95.283333,73.133333,NU,NA,NA,NA,NA,2297
2225,Lake RS36,-95.066667,72.583333,NU,NA,NA,NA,NA,2303
2493,Slow River,-100.75,63.033333,NU,NA,NA,NA,NA,2577
9990,Upper Soper Lake,-69.87914,62.91475444444445,NU,NA,0caaacb6e7484d6aa6d0b54bab80a9bc,532767.0304846846,NA,14925
9992,Ogac Lake,-67.3415277777778,62.8454677777778,NU,NA,d5998f415e004c19902122ed1111623f,138.22694672442876,NA,14930
9999,Dye Lower Water Lake (Dyer Lake),-61.649249999999995,66.62245999999999,NU,NA,NA,NA,NA,14948
10150,Winton Bay Lake,-64.68069444444444,63.3901388888889,NU,NA,1e80289469f8439ea1b2cb24bff7e32b,328376.72361071367,NA,15282
